Subscription date;Subscription prices;Product category;Product name;Region;Country;City;Domain name
02/04/2022;2000;Key Capabilities;Session Replay;Europe;Spain;Zaragoza;Automobile et transport
25/11/2016;2000;Key Capabilities;Mobile App Analytics;Europe;France;Marseille;Tourisme et voyage
25/03/2018;10000;Key Capabilities;Session Replay;Asia;South Korea;Seoul;Sports et loisirs
27/06/2022;1000;Product Analytics;User Segments;North America;Canada;Ottawa;Tourisme et voyage
16/09/2009;500;Product Analytics;User Segments;Asia;India;Kolkata;Télécommunications
03/06/2020;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Spain;Madrid;Télécommunications
07/08/2016;1000;Digital Experience Monitoring;Speed Analysis;South America;Brazil;São Paulo;Automobile et transport
01/06/2014;5000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;Chennai;Services financiers et bancaires
27/01/2022;500;Product Analytics;User Segments;Europe;Spain;Seville;Services professionnels (conseil, comptabilité, juridique)
02/06/2023;5000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;South Korea;Seoul;Santé et soins de santé
05/04/2019;2000;Digital Experience Analytics;Journey Analysis;Asia;Japan;Tokyo;Éducation et formation
04/07/2010;5000;Digital Experience Monitoring;Frustration Scoring;Asia;China;Guangzhou;Santé et soins de santé
05/03/2022;2000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Cologne;Médias et divertissement
28/05/2020;1000;Digital Experience Monitoring;Error Analysis;North America;Canada;Ottawa;Sports et loisirs
03/08/2021;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Italy;Palermo;Commerce de détail et e-commerce
20/11/2012;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;Manchester;Télécommunications
23/07/2016;5000;Product Analytics;User Segments;North America;United States;Phoenix;Télécommunications
20/05/2016;2000;Digital Experience Analytics;Journey Analysis;Europe;France;Marseille;Sports et loisirs
20/12/2019;500;Product Analytics;Retention Analytics;Europe;Spain;Seville;Commerce de détail et e-commerce
15/04/2020;1000;Product Analytics;User Segments;Asia;Saudi Arabia;Jeddah;Tourisme et voyage
23/01/2015;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Los Angeles;Santé et soins de santé
11/07/2022;5000;Digital Experience Monitoring;Error Analysis;Europe;United Kingdom;Birmingham;Éducation et formation
20/09/2012;2000;Digital Experience Analytics;Journey Analysis;South America;Brazil;Fortaleza;Commerce de détail et e-commerce
09/07/2014;10000;Digital Experience Analytics;Merchandising;North America;Jamaica;Spanish Town;Éducation et formation
05/10/2008;500;Digital Experience Monitoring;Speed Analysis;Asia;Saudi Arabia;Medina;Commerce de détail et e-commerce
16/06/2015;2000;Key Capabilities;Session Replay;Europe;France;Nice;Médias et divertissement
04/10/2023;2000;Digital Experience Analytics;Journey Analysis;North America;United States;New York City;Services financiers et bancaires
07/04/2013;1000;Product Analytics;Cross-Session;South America;Colombia;Barranquilla;Éducation et formation
23/05/2011;2000;Key Capabilities;Mobile App Analytics;North America;United States;New York City;Éducation et formation
07/11/2022;2000;Digital Experience Analytics;Journey Analysis;North America;Canada;Montreal;Télécommunications
15/05/2017;500;Product Analytics;Cross-Session;Europe;France;Nice;Services financiers et bancaires
26/09/2015;500;Digital Experience Analytics;Journey Analysis;North America;United States;Chicago;Sports et loisirs
02/08/2018;5000;Digital Experience Monitoring;Speed Analysis;Asia;China;Beijing;Services financiers et bancaires
08/10/2010;2000;Digital Experience Monitoring;Frustration Scoring;Europe;Germany;Hamburg;Éducation et formation
29/12/2021;10000;Key Capabilities;Mobile App Analytics;North America;United States;Chicago;Télécommunications
13/07/2023;500;Digital Experience Analytics;Journey Analysis;Asia;South Korea;Incheon;Tourisme et voyage
28/01/2024;500;Digital Experience Analytics;Journey Analysis;Asia;South Korea;Incheon;Télécommunications
19/02/2021;5000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;London;Services professionnels (conseil, comptabilité, juridique)
21/07/2017;10000;Product Analytics;User Segments;North America;Jamaica;Spanish Town;Sports et loisirs
09/03/2017;500;Product Analytics;Cross-Session;Europe;United Kingdom;London;Médias et divertissement
14/02/2022;1000;Product Analytics;Cross-Session;North America;United States;Houston;Télécommunications
11/01/2010;2000;Key Capabilities;Impact Quantification;Asia;China;Beijing;Médias et divertissement
